ts,temp,power_w,sm_mhz,throttle
1788093294.4913466,78,8.046,210,1
1788093294.5423105,78,8.046,210,1
1788093294.5929296,78,8.046,210,1
1788093294.6434345,78,8.046,210,1
1788093294.693585,78,8.046,210,1
1788093294.7441585,78,8.046,210,1
1788093294.7944267,78,8.046,210,1
1788093294.8449433,78,8.046,210,1
1788093294.8954835,78,8.046,210,1
1788093294.945747,78,8.046,210,1
1788093294.9962702,78,8.046,210,1
1788093295.0468285,78,8.046,210,1
1788093295.0972614,79,9.372,375,1
1788093295.1474664,79,9.372,375,1
1788093295.1980474,79,9.372,375,1
1788093295.2483091,79,9.372,375,1
1788093295.298875,79,9.372,375,1
1788093295.3490636,79,9.372,375,1
1788093295.399455,79,9.372,375,1
1788093295.4496868,79,9.372,375,1
1788093295.4999125,79,9.372,375,1
1788093295.5504222,79,9.372,375,1
1788093295.600657,89,20.209,1320,32
1788093295.6509848,89,20.209,1320,32
1788093295.7011983,89,20.209,1320,32
1788093295.7517264,89,20.209,1320,32
1788093295.8023858,89,20.209,1320,32
1788093295.8525717,89,20.209,1320,32
1788093295.9028585,89,20.209,1320,32
1788093295.9533863,89,20.209,1320,32
1788093296.0040667,89,20.209,1320,32
1788093296.054667,89,20.209,1320,32
1788093296.1050081,87,42.588,1297,32
1788093296.155266,87,42.588,1297,32
1788093296.2056432,87,42.588,1297,32
1788093296.2559624,87,42.588,1297,32
1788093296.3064256,87,42.588,1297,32
1788093296.3570967,87,42.588,1297,32
1788093296.4075675,87,42.588,1297,32
1788093296.458064,87,42.588,1297,32
1788093296.5085454,87,42.588,1297,32
1788093296.5591528,87,42.588,1297,32
1788093296.6098113,87,41.627,1297,32
1788093296.660037,87,41.627,1297,32
1788093296.7104998,87,41.627,1297,32
1788093296.7608953,87,41.627,1297,32
1788093296.8111908,87,41.627,1297,32
1788093296.8613825,87,41.627,1297,32
1788093296.911542,87,41.627,1297,32
1788093296.962119,87,41.627,1297,32
1788093297.0123205,87,41.627,1297,32
1788093297.0629885,87,41.627,1297,32
1788093297.1133049,87,40.951,1297,32
1788093297.1639662,87,40.951,1297,32
1788093297.2141762,87,40.951,1297,32
1788093297.2646859,87,40.951,1297,32
1788093297.314986,87,40.951,1297,32
1788093297.3653746,87,40.951,1297,32
1788093297.4159791,87,40.951,1297,32
1788093297.4661963,87,40.951,1297,32
1788093297.5167878,87,40.951,1297,32
1788093297.5673025,87,40.951,1297,32
1788093297.6177926,87,40.209,1290,32
1788093297.6679065,87,40.209,1290,32
1788093297.7182555,87,40.209,1290,32
1788093297.768664,87,40.209,1290,32
1788093297.8189983,87,40.209,1290,32
1788093297.869406,87,40.209,1290,32
1788093297.9197903,87,40.209,1290,32
1788093297.970346,87,40.209,1290,32
1788093298.020584,87,40.209,1290,32
1788093298.071213,87,40.209,1290,32
1788093298.1215966,87,38.93,1327,32
1788093298.1719513,87,38.93,1327,32
1788093298.222228,87,38.93,1327,32
1788093298.2728357,87,38.93,1327,32
1788093298.3230867,87,38.93,1327,32
1788093298.3734918,87,38.93,1327,32
1788093298.424114,87,38.93,1327,32
1788093298.4748545,87,38.93,1327,32
1788093298.525162,87,38.93,1327,32
1788093298.5753293,87,38.93,1327,32
1788093298.6256948,87,37.098,1387,32
1788093298.6762676,87,37.098,1387,32
1788093298.7269416,87,37.098,1387,32
1788093298.7774382,87,37.098,1387,32
1788093298.8280203,87,37.098,1387,32
1788093298.8819518,87,37.098,1387,32
1788093298.9324026,87,37.098,1387,32
1788093298.9828646,87,37.098,1387,32
1788093299.03334,87,37.098,1387,32
1788093299.0835967,87,37.076,1237,32
1788093299.1340606,87,37.076,1237,32
1788093299.1842875,87,37.076,1237,32
1788093299.2350154,87,37.076,1237,32
1788093299.2855759,87,37.076,1237,32
1788093299.3360965,87,37.076,1237,32
