t,phase,temp,power,sm_mhz,throttle
0.0,idle,53,6.124,210,1
0.051,idle,53,6.124,210,1
0.101,idle,53,6.124,210,1
0.152,idle,53,6.124,210,1
0.202,idle,53,6.124,210,1
0.253,idle,53,6.124,210,1
0.303,idle,53,6.124,210,1
0.353,idle,53,6.124,210,1
0.403,idle,53,6.124,210,1
0.454,idle,53,6.125,210,1
0.505,idle,53,6.125,210,1
0.555,idle,53,6.125,210,1
0.605,idle,53,6.125,210,1
0.656,idle,53,6.125,210,1
0.706,idle,53,6.125,210,1
0.756,idle,53,6.125,210,1
0.807,idle,53,6.125,210,1
0.857,idle,53,6.125,210,1
0.908,idle,53,6.125,210,1
0.958,idle,53,6.125,210,1
1.008,idle,53,6.125,210,1
1.059,idle,53,6.125,210,1
1.109,idle,53,6.125,210,1
1.16,idle,53,6.125,210,1
1.21,idle,53,6.125,210,1
1.26,idle,53,6.125,210,1
1.311,idle,53,6.125,210,1
1.361,idle,53,6.125,210,1
1.412,idle,53,6.125,210,1
1.462,idle,54,6.126,210,1
1.513,idle,54,6.126,210,1
1.563,idle,54,6.126,210,1
1.613,idle,54,6.126,210,1
1.664,idle,54,6.126,210,1
1.714,idle,54,6.126,210,1
1.764,idle,54,6.126,210,1
1.815,idle,54,6.126,210,1
1.865,idle,54,6.126,210,1
1.915,idle,54,6.126,210,1
1.966,idle,54,6.126,210,1
2.016,idle,54,6.126,210,1
2.067,idle,54,6.126,210,1
2.117,idle,54,6.126,210,1
2.167,idle,54,6.126,210,1
2.218,idle,54,6.126,210,1
2.268,idle,54,6.126,210,1
2.318,idle,54,6.126,210,1
2.369,idle,54,6.126,210,1
2.419,idle,54,6.126,210,1
2.47,idle,53,6.127,210,1
2.52,idle,53,6.127,210,1
2.57,idle,53,6.127,210,1
2.621,idle,53,6.127,210,1
2.671,idle,53,6.127,210,1
2.722,idle,53,6.127,210,1
2.772,idle,53,6.127,210,1
2.822,idle,53,6.127,210,1
2.873,idle,53,6.127,210,1
2.923,idle,53,6.127,210,1
2.974,idle,53,6.127,210,1
3.025,idle,53,6.127,210,1
3.075,idle,53,6.127,210,1
3.125,idle,53,6.127,210,1
3.176,idle,53,6.127,210,1
3.226,idle,53,6.127,210,1
3.276,idle,53,6.127,210,1
3.327,idle,53,6.127,210,1
3.377,idle,53,6.127,210,1
3.428,idle,53,6.127,210,1
3.478,idle,53,6.128,210,1
3.529,idle,53,6.128,210,1
3.579,idle,53,6.128,210,1
3.63,idle,53,6.128,210,1
3.68,idle,53,6.128,210,1
3.73,idle,53,6.128,210,1
3.781,idle,53,6.128,210,1
3.831,idle,53,6.128,210,1
3.881,idle,53,6.128,210,1
3.932,idle,53,6.128,210,1
3.983,idle,53,6.128,210,1
4.033,idle,53,6.128,210,1
4.084,idle,53,6.128,210,1
4.134,idle,53,6.128,210,1
4.185,idle,53,6.128,210,1
4.235,idle,53,6.128,210,1
4.286,idle,53,6.128,210,1
4.336,idle,53,6.128,210,1
4.387,idle,53,6.128,210,1
4.437,idle,54,6.126,210,1
4.488,idle,54,6.126,210,1
4.538,idle,54,6.126,210,1
4.588,idle,54,6.126,210,1
4.639,idle,54,6.126,210,1
4.689,idle,54,6.126,210,1
4.74,idle,54,6.126,210,1
4.791,idle,54,6.126,210,1
4.841,idle,54,6.126,210,1
4.892,idle,54,6.126,210,1
4.942,idle,54,6.126,210,1
4.992,idle,54,6.126,210,1
5.043,idle,54,6.126,210,1
5.093,idle,54,6.126,210,1
5.143,idle,54,6.126,210,1
5.194,idle,54,6.126,210,1
5.244,idle,54,6.126,210,1
5.295,idle,54,6.126,210,1
5.345,idle,54,6.126,210,1
5.396,idle,54,6.126,210,1
5.446,idle,54,6.125,210,1
5.497,idle,54,6.125,210,1
5.547,idle,54,6.125,210,1
5.597,idle,54,6.125,210,1
5.647,idle,54,6.125,210,1
5.698,idle,54,6.125,210,1
5.748,idle,54,6.125,210,1
5.799,idle,54,6.125,210,1
5.849,idle,54,6.125,210,1
5.9,idle,54,6.125,210,1
5.95,idle,54,6.125,210,1
6.001,idle,54,6.125,210,1
6.051,idle,54,6.125,210,1
6.101,idle,54,6.125,210,1
6.152,idle,54,6.125,210,1
6.202,idle,54,6.125,210,1
6.252,idle,54,6.125,210,1
6.303,idle,54,6.125,210,1
6.353,idle,54,6.125,210,1
6.403,idle,54,6.125,210,1
6.454,idle,54,6.13,210,1
6.504,idle,54,6.13,210,1
6.554,idle,54,6.13,210,1
6.605,idle,54,6.13,210,1
6.655,idle,54,6.13,210,1
6.706,idle,54,6.13,210,1
6.756,idle,54,6.13,210,1
6.807,idle,54,6.13,210,1
6.858,idle,54,6.13,210,1
6.908,idle,54,6.13,210,1
6.958,idle,54,6.13,210,1
7.009,idle,54,6.13,210,1
7.059,idle,54,6.13,210,1
7.11,idle,54,6.13,210,1
7.16,idle,54,6.13,210,1
7.21,idle,54,6.13,210,1
7.261,idle,54,6.13,210,1
7.311,idle,54,6.13,210,1
7.361,idle,54,6.13,210,1
7.412,idle,54,6.13,210,1
7.462,idle,54,6.13,210,1
7.513,idle,54,6.13,210,1
7.563,idle,54,6.13,210,1
7.613,idle,54,6.13,210,1
7.664,idle,54,6.13,210,1
7.714,idle,54,6.13,210,1
