t,phase,temp,power,sm_mhz,throttle
0.0,idle,60,6.192,210,1
0.051,idle,60,6.192,210,1
0.101,idle,60,6.192,210,1
0.152,idle,60,6.192,210,1
0.202,idle,60,6.192,210,1
0.252,idle,60,6.192,210,1
0.303,idle,60,6.192,210,1
0.353,idle,60,6.192,210,1
0.404,idle,60,6.192,210,1
0.454,idle,60,6.192,210,1
0.505,idle,60,6.192,210,1
0.555,idle,60,6.192,210,1
0.605,idle,60,6.192,210,1
0.656,idle,61,6.184,210,1
0.707,idle,61,6.184,210,1
0.757,idle,61,6.184,210,1
0.807,idle,61,6.184,210,1
0.857,idle,61,6.184,210,1
0.908,idle,61,6.184,210,1
0.958,idle,61,6.184,210,1
1.009,idle,61,6.184,210,1
1.059,idle,61,6.184,210,1
1.11,idle,61,6.184,210,1
1.161,idle,61,6.184,210,1
1.211,idle,61,6.184,210,1
1.262,idle,61,6.184,210,1
1.312,idle,61,6.184,210,1
1.362,idle,61,6.184,210,1
1.413,idle,61,6.184,210,1
1.463,idle,61,6.184,210,1
1.513,idle,61,6.184,210,1
1.564,idle,61,6.184,210,1
1.614,idle,61,6.184,210,1
1.664,idle,61,6.196,210,1
1.715,idle,61,6.196,210,1
1.766,idle,61,6.196,210,1
1.816,idle,61,6.196,210,1
1.867,idle,61,6.196,210,1
1.917,idle,61,6.196,210,1
1.967,idle,61,6.196,210,1
2.018,idle,61,6.196,210,1
2.068,idle,61,6.196,210,1
2.119,idle,61,6.196,210,1
2.169,idle,61,6.196,210,1
2.22,idle,61,6.196,210,1
2.27,idle,61,6.196,210,1
2.32,idle,61,6.196,210,1
2.37,idle,61,6.196,210,1
2.421,idle,61,6.196,210,1
2.472,idle,61,6.196,210,1
2.522,idle,61,6.196,210,1
2.572,idle,61,6.196,210,1
2.623,idle,61,6.207,210,1
2.673,idle,61,6.207,210,1
2.724,idle,61,6.207,210,1
2.774,idle,61,6.207,210,1
2.824,idle,61,6.207,210,1
2.875,idle,61,6.207,210,1
2.925,idle,61,6.207,210,1
2.976,idle,61,6.207,210,1
3.026,idle,61,6.207,210,1
3.077,idle,61,6.207,210,1
3.127,idle,61,6.207,210,1
3.178,idle,61,6.207,210,1
3.228,idle,61,6.207,210,1
3.278,idle,61,6.207,210,1
3.328,idle,61,6.207,210,1
3.379,idle,61,6.207,210,1
3.429,idle,61,6.207,210,1
3.48,idle,61,6.207,210,1
3.53,idle,61,6.207,210,1
3.581,idle,61,6.207,210,1
