t,phase,temp,power,sm_mhz,throttle
0.0,idle,59,6.19,210,1
0.052,idle,60,6.193,210,1
0.102,idle,60,6.193,210,1
0.153,idle,60,6.193,210,1
0.203,idle,60,6.193,210,1
0.254,idle,60,6.193,210,1
0.305,idle,60,6.193,210,1
0.355,idle,60,6.193,210,1
0.405,idle,60,6.193,210,1
0.456,idle,60,6.193,210,1
0.506,idle,60,6.193,210,1
0.556,idle,60,6.193,210,1
0.607,idle,60,6.193,210,1
0.657,idle,60,6.193,210,1
0.708,idle,60,6.193,210,1
0.758,idle,60,6.193,210,1
0.809,idle,60,6.193,210,1
0.86,idle,60,6.193,210,1
0.91,idle,60,6.193,210,1
0.961,idle,60,6.193,210,1
1.011,idle,60,6.193,210,1
1.062,idle,60,6.191,210,1
1.112,idle,60,6.191,210,1
1.163,idle,60,6.191,210,1
1.213,idle,60,6.191,210,1
1.264,idle,60,6.191,210,1
1.314,idle,60,6.191,210,1
1.365,idle,60,6.191,210,1
1.415,idle,60,6.191,210,1
1.465,idle,60,6.191,210,1
1.516,idle,60,6.191,210,1
1.566,idle,60,6.191,210,1
1.617,idle,60,6.191,210,1
1.667,idle,60,6.191,210,1
1.718,idle,60,6.191,210,1
1.768,idle,60,6.191,210,1
1.818,idle,60,6.191,210,1
1.869,idle,60,6.191,210,1
1.92,idle,60,6.191,210,1
1.97,idle,60,6.191,210,1
2.02,idle,60,6.191,210,1
2.07,idle,60,6.178,210,1
2.121,idle,60,6.178,210,1
2.171,idle,60,6.178,210,1
2.222,idle,60,6.178,210,1
2.272,idle,60,6.178,210,1
2.322,idle,60,6.178,210,1
2.373,idle,60,6.178,210,1
2.423,idle,60,6.178,210,1
2.473,idle,60,6.178,210,1
2.524,idle,60,6.178,210,1
2.574,idle,60,6.178,210,1
2.625,idle,60,6.178,210,1
2.675,idle,60,6.178,210,1
2.726,idle,60,6.178,210,1
2.776,idle,60,6.178,210,1
2.827,idle,60,6.178,210,1
2.878,idle,60,6.178,210,1
2.928,idle,60,6.178,210,1
2.979,idle,60,6.178,210,1
3.029,idle,60,6.178,210,1
3.08,idle,60,6.177,210,1
3.13,idle,60,6.177,210,1
3.18,idle,60,6.177,210,1
3.231,idle,60,6.177,210,1
3.281,idle,60,6.177,210,1
3.331,idle,60,6.177,210,1
3.382,idle,60,6.177,210,1
3.433,idle,60,6.177,210,1
3.483,idle,60,6.177,210,1
3.533,idle,60,6.177,210,1
3.584,idle,60,6.177,210,1
3.634,idle,60,6.177,210,1
3.685,idle,60,6.177,210,1
3.735,idle,60,6.177,210,1
3.786,idle,60,6.177,210,1
3.836,idle,60,6.177,210,1
3.886,idle,60,6.177,210,1
3.937,idle,60,6.177,210,1
3.987,idle,60,6.177,210,1
4.038,idle,60,6.177,210,1
4.088,idle,60,6.189,210,1
4.139,idle,60,6.189,210,1
4.189,idle,60,6.189,210,1
4.24,idle,60,6.189,210,1
4.29,idle,60,6.189,210,1
